Class,Charges,Spell Name,Spell Description
Life,11,False Beliefs,Enemies take damage equal to 100% of the Health they've recovered in the current battle.
Life,5,Fist of Heavens,Target takes a massive amount of damage.
Life,5,Flourish,Your creatures are resurrected with a small amount of Health.
Life,10,Fortify,"Your creatures' Barrier buffs are set to their maximum strength. If they don't have a Barrier, they gain Shelled."
Life,11,Fracture,"Target's Barrier explodes and is removed, dealing damage to enemies equal to 200% of the strength of the Barrier."
Life,10,Glory,"Each of the caster's other, non-Ethereal Spell Gems have a 30% chance to be cast. Maximum of 3 spells can be Cast."
Life,5,Godly Gin,Your creatures gain Immune. This spell is a Booze Spell.
Life,10,Guardian Force,Your creatures Defend.
Life,15,Healing,Target recovers a moderate amount of Health.
Life,10,Heaven's Fury,Target loses a large amount of Maximum Health.
Life,12,Heaven's Thunder,Target takes a moderate amount of damage and is afflicted with Silenced.
Life,13,Hero's Blessing,"Removes a debuff from your creatures. This spell cannot be cast manually, but has a 35% chance to cast when the caster Attacks."
Life,7,Holy Armor,Target gains a Barrier that absorbs a massive amount of damage.
Life,10,Holy Blast,"Target's Health is set to 25%, and it gains a Barrier that absorbs damage equal to 200% of its Maximum Health."
Life,15,Holy Bulwark,Your creatures gain a Barrier that absorbs a moderate amount of damage.
Life,5,Holy Enchantment,Target recovers a large amount of Health and gains a Barrier that absorbs damage equal to the amount of Health recovered.
Life,10,Holy Explosion,Enemies take a moderate amount of damage.
Life,10,Holy Fire,Enemies take damage equal to 30% of the caster's Barrier strength.
Life,7,Holy Nova,"Enemies take a moderate amount of damage, and your creatures recover a moderate amount of Health."
Life,15,Holy Protection,Your creatures gain Shelled.
Life,13,Holy Shock,Target takes a moderate amount of damage. This spell casts a number of times equal to the number of enemy creatures that belong to the target's class.
Life,17,Holy Shrine,Your creatures gain a random buff.
Life,20,Holy Smite,Target takes a small amount of damage and the caster recovers a small amount of Health.
Life,15,Holy Spear,Target takes damage equal to 50% of the caster's Barrier strength.
Life,1,Holy Strike,"Target takes a devastating amount of damage, and your creatures gain a Barrier that absorbs damage equal to 100% of the damage dealt. This spell is an Ultimate spell."
Life,14,Humility,Target's stats become equal to its lowest stat.
Life,15,Ignus Fatuus,"Target takes a moderate amount of damage, plus 25% more damage for each Ethereal Spell Gem it has."
Life,1,Illusion,Your creatures gain an Illusion. This spell is an Ultimate Spell.
Life,7,Inner Strength,"Your creatures gain a massive amount of Attack, Intelligence, Speed, or Defense. The start is chosen at random."
Life,15,Innervate,"Target recovers a small amount of Health, or a massive amount if it has Mending."
Life,10,Inoculate,Target is healed for a massive amount of Health and is afflicted with Poisoned.
Life,15,Judgment,Enemies are killed if they have less than 33% Health.
Life,10,Judgment Blade,"Target takes a small amount of damage, plus 10% damage for each time it has Attacked or Cast a spell in the current battle."
Life,3,Life Orb,Your dead creatures are resurrected with a massive amount of Health. Your living creatures are healed for a massive amount of Health.
Life,8,Lifeline,Caster recovers 100% Health.
Life,10,Lionheart,Target gains a large amount of Attack and Defense.
Life,10,Living Armor,Caster gains a Barrier that absorbs damage equal to 100% of its Current Health. This spell is an Arsenal Spell.
Life,10,Living Life Lance,"Target takes a small amount of damage, or massive damage if the target is a Life creature. The damage is based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Life,7,Living Life Shield,"Caster's class is changed to Life, it gains Protected, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Life,6,Living Necklace,Your creatures' Spell Gems are unsealed and their Silenced debuffs are removed. This spell is an Arsenal Spell.
Life,4,Living Ribbon,Your creatures gain Immune. This spell is an Arsenal Spell.
Life,12,Luscious Lager,Enemies are afflicted with Sleeping and Blind. This spell is a Booze Spell.
Life,10,Major Healing,Target recovers a large amount of Health.
Life,10,Major Resurrection,Target is resurrected with a large amount of Health.
Life,20,Minor Healing,Target recovers a small amount of Health.
Life,20,Minor Resurrection,Target is resurrected with a small amount of Health.
Life,5,Morph: Life,Your creatures gain a large amount of Maximum Health and their classes become Life until the end of battle.
Life,1,Peace,"Enemies' Attack or Intelligence (whichever is highest) is set to their minimum values.
Then, afflict each enemy with Scorned or Silenced, depending on whether their Attack or Intelligence was unaffected. This spell is an Ultimate Spell."
Life,6,Phoenix Burst,"Enemies take a small amount of damage, or a massive amount of damage if the caster has at least 1 dead enemy. Then, a random enemy is resurrected with 50% Health."
Life,1,Phoenix Down,Your creatures are resurrected with a moderate amount of Health and gain a random buff.
Life,8,Praise the Sun,All creatures recover a large amount of Health.
Life,10,Prosperity,Target gains 50% Current Health. This does not count as a healing effect.
Life,15,Protect,"Target gains Protected and Warded. Then, it Defends."
Life,5,Pure Love,All creatures gain a massive amount of Maximum Health.
Life,5,Reincarnation,"Target is killed, then resurrected with a massive amount of Health."
Life,5,Relight,"Caster is killed, and your other creatures gain Rebirth."
Life,3,Requiem,Your creatures are resurrected with a moderate amount of Health.
Life,10,Resplendence,"Enemies take a small amount of damage, your creatures recover a small amount of Health, and your creatures gain a small amount of Maximum Health."
Life,15,Resurrection,Target is resurrected with a moderate amount of Health.
Life,15,Righteous Storm,Enemies take a small amount of damage and lose a small amount of Attack.
Life,20,Rune of Lua,"Target takes a large amount of damage, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's Current Health instead of its Intelligence."
Life,5,Sacred Ground,All creatures are afflicted with Scorned.
Life,1,Sacrifice to the Light,"When the caster dies, it resurrects with 100% Health. This spell cannot be cast manually, and only works in normal battles."
Life,10,Saint's Touch,"Target gains a large amount of its highest stat if it's an ally, or loses a large amount of its highest stat if it's an enemy."
Life,7,Sanctuary,"Your creatures gain Shelled, Mending, and Repelling."
Life,15,Saving Grace,"Caster's debuffs are removed and gains Shelled. This spell cannot be cast manually, but has a 100% chance to cast when this creature takes damage that exceeds 25% of its Maximum Health."
Life,10,Schism,Enemies take a moderate amount of damage. This spell casts a number of times equal to the number of times your creatures have resurrected in the current battle.
Life,10,Scourge Death,"Target takes a small amount of damage, or massive damage if the target is a Death creature."
Life,15,Sensual Cider,Your creatures recover a large amount of Health. This spell is a Booze Spell.
Life,10,Serendipity,Your creatures gain Savage and Agile.
Life,15,Spectral Crash,"Target takes a moderate amount of damage, plus 100% more damage if the caster has Savage."
Life,20,Spirit Breaker,"Target takes a small amount of damage, plus 50% more damage for each turn it has taken in the current battle."
Life,20,Star Blast,"Target takes a small amount of damage, plus 10% damage for each Charge this Spell Gem is missing."
Life,3,Star Pact,"Enemies take a massive amount of damage, plus 10% damage for every buff this creature has."
Life,5,Starfire,Enemies take a moderate amount of damage and are afflicted with either Scorned or Silenced.
Life,8,Stasis Sword,Target takes a large amount of damage and is afflicted with Stone.
Life,15,Stellar Flare,"Enemies take a small amount of damage, plus 10% more damage for each time the caster has Defended and Provoked in the current battle."
Life,8,Stubborn Will,Target recovers a small amount of Health for each debuff it has (up to 5).
Life,15,Thoughts and Prayers,"This spell casts three additional times, but has no effect."
Life,25,Transcendence,Target gains a random trait that belongs to a creature from its race.
Life,3,True Light,"Your creatures gain a large amount of Defense, and enemies lose a large amount of Defense."
Life,1,Utopia,All creatures recover Health equal to 100% of the amount they're missing.
Life,8,Words of Encouragement,Target recovers a small amount of Health 3 times.
Life,1,Work of Art,Your creatures gain an army of minions. This spell does not activate on-minion effects. This spell is an Ultimate Spell.
Life,10,Zephyr,"Your creatures recover a moderate amount of Health, plus 25% more healing for each Life creature fighting on your side."
Nature,12,Abundance,"Your creatures recover a small amount of Health and gain a small amount of Attack, Intelligence, Defense, and Speed."
Nature,2,Angry Orchard,Enemies take a moderate amount of damage 4 times.
Nature,17,Antidote,"The duration of your creatures' debuffs is reduced by 1 turn, and they recover a small amount of Health for each debuff."
Nature,1,Avalanche,Enemies take a devastating amount of damage and are sent to the bottom of the Timeline. This spell is an Ultimate spell.
Nature,5,Boulder,Target takes a massive amount of damage.
Nature,8,Brethren,Your other creatures that belong to the caster's race Attack a random enemy.
Nature,11,Call Help,Your creatures' minions gain 1 stack.
Nature,20,Camouflage,Your creatures' classes are changed to match that of the caster's class.
Nature,7,Chain Lightning,"Deals a large amount of damage to the target, then bounces to each of the target's allies at random. The damage is reduced for each bounce."
Nature,5,Cherub's Missile,Caster Casts one of its other spells. The targets are chosen at complete random.
Nature,5,Chrysalis,Target gains a massive amount of Defense and is sent to the bottom of the Timeline.
Nature,1,Colorwave,"Your creatures gain a large amount of stats, plus 50% more stats for each Nature Infusion you have."
Nature,17,Constriction,Target is afflicted with Weak and Snared.
Nature,3,Cross-Pollination,Your creatures' classes are changed to Nature and they gain a large amount of the caster's highest stat.
Nature,10,Cruelty of the Wild,"Enemies are afflicted with Blighted. If they are already afflicted with this debuff, they instead recover a moderate amount of Health."
Nature,13,Crushing Impact,Creatures to the left and right of the target Attack the target.
Nature,2,Curse of the Swarm,Enemies are afflicted with a random debuff for each different class of creature fighting on your side.
Nature,11,Cyclone Strike,Target and all enemies take a devastating amount of damage. The damage is split amongst all enemies.
Nature,9,Disintegrating Arrow,"Target takes a moderate amount of damage. If this spell kills the target, it cannot be resurrected for the rest of the battle. 100% of the damage is based on the caster's Speed instead of Intelligence."
Nature,10,Dispelling Dervish,Target takes a moderate amount of damage and its buffs are removed.
Nature,5,Divulging Bark,Your creatures gain 1 stack of Dire Wolves.
Nature,9,Dogpile,"Target takes a moderate amount of damage, plus 5% damage for each stack of minions the caster has."
Nature,8,Double Strike,"Target takes a moderate amount of damage twice. If the caster has Proficient, this spell is cast an additional time and then the Proficient buff is removed."
Nature,10,Dust Cloak,Your creatures gain Invisible but are sent to the bottom of the Timeline.
Nature,8,Earth Enchantment,"Target gains Taunting, and a large amount of Defense."
Nature,8,Earthen Embrace,Target recovers a moderate amount of Health and gains a Barrier that absorbs damage equal to 100% of the amount healed.
Nature,12,Earthen Spike,"Target takes a small amount of damage, or massive damage if the target is Defending."
Nature,5,Earthquake,Enemies take a large amount of damage and their minions are removed.
Nature,20,Elemental Barrier,Target gains a Barrier that absorbs damage equal to 50% of its Defense.
Nature,15,Elemental Guard,Your creatures gain a Barrier that absorbs damage equal to 20% of their Defense.
Nature,5,Elemental Wrath,Enemies take a large amount of damage.
Nature,25,Empower,Target gains Savage.
Nature,8,Energize,Target's Spell Gems Charges are set to 35%.
Nature,18,Entangle,Each enemy has a 50% chance to be afflicted with Snared.
Nature,13,Entangling Arrow,Target takes a moderate amount of damage and is afflicted with Snared. 100% of the damage is based on the caster's Speed instead of Intelligence.
Nature,7,Entangling Roots,Enemies are afflicted with Snared.
Nature,5,Evolution,"Target creature is transformed into a creature that belongs to its same race, and gains a massive amount of Attack, Intelligence, Defense, and Speed."
Nature,6,Expel,"One of the target's Spell Gems loses 100% of its Charges, and enemies take damage equal to 7% of the target's Intelligence for each Charge removed."
Nature,10,Explosive Arrow,"Target takes a moderate amount of damage, or a devastating amount if it has a Bomb. 100% of the damage is based on the caster's Speed instead of Intelligence."
Nature,13,Fire Arrow,Target takes a moderate amount of damage and is afflicted with Burning. 100% of the damage is based on the caster's Speed instead of Intelligence.
Nature,4,Fist of Torun,"Target takes a devastating amount of damage, and your creatures take damage equal to 20% of the damage dealt."
Nature,1,Forbidden Unity,"Your other creatures Cast the Spell Gem in their first slot. Then, those Spell Gems are sealed."
Nature,5,Fragmenting Arrow,"Target takes a moderate amount of damage that ignores 30% of the target's Defense. If the amount of damage exceeds 100% of the target's Maximum Health, all other enemies take this damage as well.
100% of the damage is based on the caster's Speed instead of Intelligence."
Nature,5,Freezing Sting,"Target takes a moderate amount of damage, loses a moderate amount of Speed, and is afflicted with Frozen."
Nature,13,Frost Arrow,Target takes a moderate amount of damage and is afflicted with Frozen. 100% of the damage is based on the caster's Speed instead of Intelligence.
Nature,8,Frost Enchantment,"Target gains Protected, and a large amount of Intelligence."
Nature,10,Fury Swipes,Target Attacks random enemy creatures 3 times. Each attack deals 25% normal damage.
Nature,15,Germinate,Target is afflicted with Snared and Poisoned.
Nature,5,Giant's Strength,Target gains a massive amount of Attack.
Nature,13,Gift of the Wild,Your creatures recover a small amount of Health and gain Repelling.
Nature,10,Glacier,Target takes a large amount of damage and is afflicted with Frozen.
Nature,1,Good Fortune,Your creatures gain all buffs. This spell does not activate on-buff effects. This spell is an Ultimate spell.
Nature,1,Grandeur,Your creatures gain a massive amount of stats and their Ultimate Spell Gems recover 100% Charges. This spell is an Ultimate Spell.
Nature,15,Herd Immunity,Your creatures recover Health equal to 100% of the target's Poisoned potency.
Nature,13,Homing Arrow,Target takes a moderate amount of damage that ignores 50% of the target's Defense. 100% of the damage is based on the caster's Speed instead of Intelligence.
Nature,7,Horrible Howl,Your creatures with Dire Wolves gain 3 stacks of this minion.
Nature,18,Ice Bolt,Target takes a small amount of damage and is afflicted with Frozen.
Nature,5,Iron Skin,Target gains a massive amount of Defense.
Nature,4,Lightning Storm,"Enemies take a massive amount of damage, and the caster is afflicted with Silenced."
Nature,12,Lightning Strike,"Target takes a small amount of damage, or massive damage if the target it Provoking."
Nature,7,Living Boots,"Your creatures gain a moderate amount of Speed, plus 65% more for each turn they've taken in the current battle. This spell is an Arsenal Spell."
Nature,5,Living Bow,Caster Casts 3 random Arrow spells. This spell is an Arsenal Spell.
Nature,10,Living Cloak,Caster gains a large amount of Speed and Invisible. This spell is an Arsenal Spell.
Nature,10,Living Nature Lance,"Target takes a small amount of damage, or massive damage if the target is a Nature creature. The damage ia based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Nature,7,Living Nature Shield,"Caster's class is changed to Nature, it gains Invisible, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Nature,10,Lycanthropy,"Caster transforms into a random Nature creature with 100% Health. Then, this Spell Gem is Sealed.
This spell cannot be cast manually, but has a 100% chance to cast when this creature takes damage while it is below 25% Health."
Nature,15,Madness,Target and the caster take a devastating amount of damage.
Nature,15,Maelstrom,Target is afflicted with Confused and Feared.
Nature,13,Mangle,"Target takes a small amount of damage, plus damage equal to 3 turns of its Bleeding debuff."
Nature,20,Memento of Speed,This spell doesn't do anything when Cast. The caster has 5% more Speed for each Charge this Spell Gem is missing.
Nature,24,Merry Malt,Caster gains a random trait that belongs to its race. This spell is a Booze Spell.
Nature,20,Metamorphosis,Target's Health is set to a random amount between 1% and 100%.
Nature,6,Meteor Shower,Enemies take a moderate amount of damage three times.
Nature,3,Might of the Jotun,"Target gains a massive amount of Attack. At the start of its next turn, it Attacks a random enemy."
Nature,5,Morph: Nature,Your creatures gain a large amount of Speed and their classes become Nature until the end of battle.
Nature,7,Muster,"Target gains Leeching and Mending, and a large amount of Attack."
Nature,3,Nature Orb,Your creatures gain a random buff and a moderate amount of stats.
Nature,20,Nature's Blessing,Your creatures' buffs gain 3 turns of duration.
Nature,10,Nourish,Your creatures gain Mending.
Nature,10,Nutrition,"Removes one of the target's debuffs. If a debuff was successfully removed, heal the target for a large amount of Health."
Nature,5,Overcharge,"Target takes a devastating amount of damage. Then, this Spell Gem is Sealed."
Nature,10,Parasite Eve,Enemies take damage equal to 10% of the amount of Health they've recovered in the current battle.
Nature,15,Petrify,Target is afflicted with Stone.
Nature,13,Poison Arrow,Target takes a moderate amount of damage and is afflicted with Poisoned. 100% of the damage is based on the caster's Speed instead of Intelligence.
Nature,10,Polish,One of the target's Spell Gems regenerates 100% of its Charges.
Nature,25,Profanity,Target Provokes.
Nature,1,Rain of Arrows,Enemies take a small amount of damage and the caster Casts 5 random Arrow spells. This spell is an Ultimate spell.
Nature,10,Redoubt,"One of the target's Spell Gems loses 100% of its Charges, and it gains Defense equal to 7% of the caster's Intelligence for each Charge removed."
Nature,20,Refresh,Target's debuffs are removed.
Nature,5,Restore Balance,Enemies' Health percentages are averaged.
Nature,5,Ruin,"Target loses a devastating amount of its highest stat. Then, this Spell Gem is Sealed."
Nature,20,Rune of Nax,"Target takes a large amount of damage, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's Speed instead of its Intelligence."
Nature,12,Ruse,"At the start of the target's next turn, it Casts its top-most Spell Gem twice."
Nature,8,Sandstorm,Enemies take a moderate amount of damage and are afflicted with Blind.
Nature,5,Savage Spores,All the creatures on the battlefield become Berserk and lose 40% Defense.
Nature,10,Scourge Life,"Target takes a small amount of damage, or massive damage if the target is a Life creature."
Nature,10,Secret Stuff,The enemy with the highest Attack Attacks one of its allies for 200% normal damage. This spell is a Booze Spell.
Nature,1,Seduction,"Each enemy gives 25% of their Attack, Intelligence, Defense, and Speed to your creatures in the enemies' corresponding positions. This spell is an Ultimate Spell."
Nature,12,Seismic Crash,"Target takes a moderate amount of damage. If the target has Stone, it has a 25% chance to be killed."
Nature,15,Shellbust,Target loses a moderate amount of Defense and deals damage equal to 150% of the amount reduced.
Nature,8,Shock,"Enemies take a moderate amount of damage, plus 20% more damage for each debuff they have."
Nature,15,Smoke Bomb,Enemies are afflicted with Blind.
Nature,4,Snowstorm,Enemies take a large amount of damage and have a 50% chance to be afflicted with Frozen.
Nature,6,Soothing Breeze,Target recovers a massive amount of Health.
Nature,20,Spirit Bond,Target gains the caster's trait.
Nature,14,Splitting Arrow,Enemies take a small amount of damage. 100% of the damage is based on the caster's Speed instead of Intelligence.
Nature,7,Stampede,Each of your creatures Attack an enemy for 50% normal damage. Each creature targets an enemy in their corresponding position.
Nature,5,Stone Skin,Target gains a massive amount of Current and Maximum Health.
Nature,14,Stone Ward,"Target gains a small amount of Defense. Then, it Defends and Provokes."
Nature,10,Stonewall,Your Defending creatures gain a massive amount of Defense.
Nature,11,Submerge,"Enemies take a moderate amount of damage, plus 25% damage for each turn they've taken in the current battle."
Nature,12,Succulent Scotch,All the creatures on the battlefield Attack themselves. This spell is a Booze Spell.
Nature,18,Summon Spiderlings,Caster gains 2 stacks of Spiderlings.
Nature,1,Tectonic Upheaval,"Enemies take a massive amount of damage, lose a massive amount of Defense and Speed, and are afflicted with Snared. This spell is an Ultimate Spell."
Nature,7,Tornado,"Target takes a large amount of damage, plus 35% damage for each dead creature."
Nature,3,Torun Attunement,Caster gains 1 stack of Torun Junior.
Nature,12,Toxic Frogmania,"Target takes a small amount of damage, or a massive amount of damage if it is afflicted with Poisoned."
Nature,5,Tsunami,Enemies take a moderate amount of damage and lose a large amount of Speed.
Nature,8,Water Enchantment,"Target gains Splashing, and a large amount of Attack."
Nature,25,Web,Target is afflicted with Snared.
Nature,6,Whirlwind,Enemies take a moderate amount of damage that ignores 30% of their Defense.
Nature,8,Wild Growth,"Target gains Mending, and a large amount of Maximum Health."
Nature,8,Wind Enchantment,"Target gains Agile, and a large amount of Speed."
Nature,13,Wind Shear,"Enemies take a small amount of damage, plus 35% more damage for each Nature creature fighting on your side."
Nature,14,Windcutter,Enemies take a moderate amount of damage. This damage ignores the Shelled and Barrier buffs.
Nature,10,Wrath of Nature,Your creatures gain a moderate amount of Attack.
Sorcery,10,Absolute Focus,Target's next attack deals 100% more damage. This effect does not stack.
Sorcery,14,Amber Ale,Target Attacks a random enemy for 300% normal damage. This spell is a Booze Spell.
Sorcery,15,Arcane Enchantment,Target gains Warded and Protected.
Sorcery,5,Arcane Fallacy,Target Casts one of its multiple-target spells on its allies.
Sorcery,12,Arid Alcohol,"Enemies are afflicted with a random debuff (minimum of 1, maximum of 3) for every 2 debuffs they have. This spell is a Booze Spell."
Sorcery,15,Astral Dimension,Your creatures' Spell Gems are unsealed. This Spell Gem cannot be Sealed.
Sorcery,10,Banish,Target's minions are removed.
Sorcery,12,Black Ice,"Each enemy has a 50% chance to be afflicted with Frozen, and each of your creatures have a 50% chacne to gain Invisible."
Sorcery,10,Blank Slate,All creatures lose access to the extra traits they gained during battle.
Sorcery,5,Blinding Beam,Enemies take a large amount of damage and are afflicted with Blind.
Sorcery,14,Blindside,Target takes a small amount of damage. This damage ignores the target's Defense.
Sorcery,10,Blur,Your creatures gain a moderate amount of Speed.
Sorcery,10,Brain Freeze,Enemies' Spell Gems they've cast in the current battle are Sealed.
Sorcery,10,Brightwave,Target Casts all of its healing spells in your favor.
Sorcery,1,Colorwave,"Your creatures Cast one of their spells, plus 1 additional spell for each Sorcery Infusion you have."
Sorcery,6,Conductive Chains,"Deals a moderate amount of damage to the target, then bounces to each of the target's allies at random. The damage is increased by 20% for each bounce."
Sorcery,16,Confusion,Each enemy has a 50% chance to be afflicted with Confused.
Sorcery,18,Counterspell,Target takes a small amount of damage. The amount of damage is increased by 20% for each Charge this Spell Gem is missing.
Sorcery,14,Crystal Shield,Your creatures gain a Barrier that absorbs damage equal to 100% of their Defense.
Sorcery,14,Crystal Spears,"Target takes a moderate amount of damage, plus additional damage equal to 20% of the caster's Current Health."
Sorcery,18,Dark Crystal,Target gains Shelled and Arcane.
Sorcery,18,Deep Submersion,"Target's lowest stat is set equal to its highest stat. Then, its highest stat is set to its minimum value."
Sorcery,15,Dense Fog,Each enemy has a 50% chacne to be afflicted with Sleeping.
Sorcery,12,Discombobulate,"Enemies with Confused either Attack or Cast one of their spells, depending on whether their Attack or Intelligence is higher."
Sorcery,10,Disk of Creation,Target's stat gains and losses are removed.
Sorcery,20,Dispel,Target's buffs and debuffs are removed.
Sorcery,13,Divination,"Target's Ethereal Spell Gems are destroyed, and this creature gains a small amount of Intelligence for each gem destroyed."
Sorcery,10,Drain Life,"Target takes a moderate amount of damage, and all your creatures recover Health equal to 100% of the damage dealt."
Sorcery,3,Drain Power,"Target's Spell Gems lose 1 Charge, and the caster's other Spell Gems gain 1 Charge."
Sorcery,12,Dream Stomp,"Target takes a small amount of damage, or a massive amount of damage if they are afflicted with Sleeping."
Sorcery,1,Eagle Claws,"Caster Attacks each enemy 2 times, and your creatures gain 10% Speed for each attack. This spell is an Ultimate spell."
Sorcery,10,Elemental Barrage,The last 3 Spell Gems that were cast by any creature in the current battle are cast again in your favor.
Sorcery,25,Elemental Tome,Your creatures each gain a random Spell Gem until the end of battle.
Sorcery,15,Emerald Power,Your creatures gain a copy of the Spell Gem in the target's Artifact's Spell Slot.
Sorcery,9,Ethereal Knives,Enemies take a moderate amount of damage. 100% of the damage is based on the caster's Speed instead of Intelligence.
Sorcery,15,Exhaustion,Increases battle fatigue by 1 unit.
Sorcery,30,Extinguish,Kills the target if it has less than 33% Health.
Sorcery,12,Faewind Blade,Target takes a small amount of damage 3 times.
Sorcery,12,Final Form,"Target gains Rebirth, Protected and Berserk."
Sorcery,30,Fireworks,Enemies take a small amount of damage and have a 50% chance to be afflicted with Bomb.
Sorcery,15,Flash Freeze,Each enemy has a 50% chance to be afflicted with Frozen.
Sorcery,7,Foxfire,"Target is afflicted with Burning, and all other enemies are afflicted with either Blind or Blighted."
Sorcery,12,Friendly Fire,Target Casts one of its single-target spells on one of its allies.
Sorcery,20,Frost Armor,Target gains Shelled and 30% Defense.
Sorcery,1,Frost Hammer,"Target takes a devastating amount of damage, is afflicted with Frozen, and is sent to the bottom of the Timeline. This spell is an Ultimate spell."
Sorcery,10,Frost Rampart,Your creatures gain Protected.
Sorcery,18,Fulmination,"Target takes a small amount of damage, multiplied by battle fatigue."
Sorcery,7,Galaxy,"Enemies take a small amount of damage, plus 10% more damage for each buff each of your creatures have. Then, these buffs are removed."
Sorcery,1,Gem Bomb,"One of the caster's Ethereal Spell Gems is Sealed. Then, enemies take damage equal to 5% of the caster's highest stat for each Charge the Spell Gem has. This spell is an Ultimate spell."
Sorcery,10,Gravity,"Enemies take damage based on how high they are on the Timeline. The higher their position, the more damage they take."
Sorcery,4,Greater Dispel,Your creatures' debuffs and enemies' buffs are removed.
Sorcery,5,Haste,Target gains a massive amount of Speed.
Sorcery,1,Hungering Void,"Enemies take a moderate amount of damage. Then, enemies take a moderate amount of damage for every time this spell has been Cast in the current battle. This spell is an Ultimate spell."
Sorcery,5,Hypertrophy,"Target gains Maximum Health equal to 35% of its other stats. Then, those stats are set to their minimum values."
Sorcery,8,Icewolf Bite,Target takes a large amount of damage and is afflicted with Frozen.
Sorcery,4,Improvised Recitation,Caster Casts 3 of their Ethereal Spell Gems.
Sorcery,10,Insight,"Target gains Arcane. If it already has Arcane, it Casts a non-Ethereal Spell Gem."
Sorcery,10,Insincerity,Target Casts all its buffing spells in your favor.
Sorcery,20,Invisibility,Target gains Invisible.
Sorcery,10,Jinx,Target takes a small amount of damage. This damage is increased by 25% for each debuff the target has.
Sorcery,7,Laser Beam,Target takes a large amount of damage and loses Maximum Health equal to 100% of the damage dealt.
Sorcery,8,Lead the Charge,Target takes a small amount of damage for each creature fighting on your side that belongs to the caster's race. 100% of the damage is based on the caster's highest stat.
Sorcery,11,Lingering Insanity,Enemies take a small amount of damage. 100% of the damage is based on the enemies' Intelligence instead of the caster's.
Sorcery,7,Living Ring,Target takes a devastating amount of damage. The damage is based on the caster's lowest stat instead of Intelligence. This spell is an Arsenal Spell.
Sorcery,10,Living Sorcery Lance,"Target takes a small amount of damage, or massive damage if the target is a Sorcery creature. The damage is based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Sorcery,22,Living Sorcery Shield,"Caster's class is changed to Sorcery, it gains Warded, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Sorcery,5,Living Staff,"Enemies take a moderate amount of damage, plus 20% damage for each non-Ethereal Spell Gem the caster has equipped. This spell is an Arsenal Spell."
Sorcery,3,Living Wizard Hat,Caster's Spell Gems do not consume Charges for the rest of the battle. This spell is an Arsenal Spell.
Sorcery,7,Magic Jelly Beans,"Target takes a moderate amount of damage and is afflicted with a random debuff, or is healed for a moderate amount of Health and gains a random buff; depending on if it is an enemy or an ally."
Sorcery,35,Magic Missile,Target takes a small amount of damage.
Sorcery,5,Magic Suppression,Enemies lose a moderate amount of Intelligence and are afflicted with Silenced.
Sorcery,10,Mass Dispel,All the creatures on the battlefield lose their buffs and debuffs.
Sorcery,15,Master's Hand,"Target takes a small amount of damage, plus 20% more damage for each time the caster has Attacked in the current battle."
Sorcery,1,Mega Magic,Enemies take a large amount of damage.
Sorcery,20,Memento of Intelligence,This spell doesn't do anything when Cast. The caster has 5% more Intelligence for each Charge this Spell Gem is missing.
Sorcery,7,Mental Barrier,Your creatures gain a Barrier that absorbs a massive amount of damage.
Sorcery,12,Mind Blast,Target takes a moderate amount of damage and is afflicted with Stone.
Sorcery,20,Mind Control,Target Attacks one of its allies.
Sorcery,23,Mind Crunch,Target takes damage equal to its Intelligence minus its Attack.
Sorcery,11,Mind Crush,Target loses a moderate amount of Intelligence and is afflicted with Sleeping.
Sorcery,14,Mind Explosion,Target takes a moderate amount of damage. 100% of the damage is based on the taret's Intelligence instead of the caster's Intelligence.
Sorcery,6,Mind Fizzle,Enemies lose a large amount of Intelligence.
Sorcery,16,Mind Flay,"Target takes a small amount of damage, plus 50% more for each creature between it and the caster on the Timeline."
Sorcery,12,Mind Games,Target heals your creatures for a large amount of Health (based on the caster's Intelligence).
Sorcery,13,Mind Storm,Each enemy takes a small amount of damage and has a 50% chance to be afflicted with Stone.
Sorcery,15,Mind Tricks,Target Attacks itself for 50% normal damage.
Sorcery,5,Morph: Sorcery,Your creatures gain a large amount of Intelligence and their classes become Sorcery until the end of battle.
Sorcery,5,Mutagen,Target is resurrected with a large amount of Health and gains a large amount of stats (excluding Health).
Sorcery,8,Obelisk of Summoning,Target's minions gain their maximum amount of stacks.
Sorcery,15,Permafrost,Enemies that are Frozen are afflicted with Snared.
Sorcery,10,Pop,Random enemies take a moderate amount of damage. The number of times that enemies take damage is equal to the number of times this Spell Gem has been Cast in the current battle.
Sorcery,7,Potent Porter,Caster Casts 2 of its non-Ethereal Spell Gems. This spell is a Booze Spell.
Sorcery,15,Powered Blast,"Target takes a small amount of damage, or a massive amount of damage if the target is the same class as the caster."
Sorcery,4,Prismatic Channelling,"Enemies take a large amount of damage, plus 20% more damage for each different class of creature fighting on your side."
